Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,44,"Brassington, Ty Brassington, Ty",22.0,1.0,3.0,4.0,20.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,22.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,"Taylor, Ryan Taylor, Ryan",19.0,1.0,3.0,4.0,23.0,0.043,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,8.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,"Pakulak, Luke Pakulak, Luke",20.0,0.0,4.0,4.0,9.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-6,3.0,0.0,0.0,8.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,"Fust, Ray Fust, Ray",6.0,1.0,2.0,3.0,7.0,0.143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,3.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Taylor, Kaelan Taylor, Kaelan",22.0,0.0,3.0,3.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,31.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,"Rose, Carter Rose, Carter",10.0,0.0,2.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,5.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,"Sparkes, Jack Sparkes, Jack",22.0,0.0,2.0,2.0,19.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8-27,6.0,1.0,1.0,16.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,"Langenegger, Ethan Langenegger, Ethan",20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"O'Donnell, Shawn O'Donnell, Shawn",22.0,0.0,1.0,1.0,10.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,13.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Brännman, Marcus Brännman, Marcus",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,"Egan, Brady Egan, Brady",7.0,0.0,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,3.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Grannis, George Grannis, George",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,"Lewandowski, Caden Lewandowski, Caden",1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,"Moberg, Oliver Moberg, Oliver",4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,2.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,"Parker, Brady Parker, Brady",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-6,3.0,0.0,0.0,0.0,,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,22.0,74.0,125.0,199.0,610.0,0.121,85.0,16.0,4.0,13.0,15.0,1.0,2.0,1.0,3.0,72-158,69.0,2.0,1.0,281.0,,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,22.0,47.0,80.0,127.0,548.0,0.086,-100.0,8.0,1.0,8.0,6.0,0.0,1.0,1.0,3.0,71-175,65.0,3.0,3.0,273.0,,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,"Langenegger, Ethan Langenegger, Ethan",,,,,,,,7.0,1.0,,,,,,,,,,,,View Bio,2024-25,Table_4,20-20,1155:42,43.0,2.23,0.0,450.0,0.913,13.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Brännman, Marcus Brännman, Marcus",,,,,,,,0.0,0.0,,,,,,,,,,,,View Bio,2024-25,Table_4,3-2,147:13,1.0,0.41,0.0,45.0,0.978,2.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,"Parker, Brady Parker, Brady",,,,,,,,1.0,0.0,,,,,,,,,,,,View Bio,2024-25,Table_4,1-0,20:34,1.0,2.92,0.0,6.0,0.857,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,0.0,,,,,,,,,,,,,2024-25,Table_4,22-0,09:19,2.0,12.88,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,8.0,1.0,,,,,,,,,,,,,2024-25,Table_4,22,1332:48,49.0,2.12,2.0,501.0,0.914,15.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,16.0,4.0,,,,,,,,,,,,,2024-25,Table_4,22,1332:48,84.0,3.78,10.0,537.0,0.865,6.0,15.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,28.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/05/24,Canisius,W,2-1,0.071,3-6,0.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,34.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/06/24,RIT,L,2-3,0.059,6-23,1.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,4.0,8.0,27.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/11/24,Niagara,W,4-2,0.148,6-12,2.0,1.0,1.0,1.0,0.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,32.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/12/24,Notre Dame,L,2-5,0.063,6-12,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,25.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/19/24,at Vermont,W,3-1,0.12,5-10,1.0,0.0,1.0,1.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,5.0,9.0,17.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/25/24,at Michigan Tech,W,4-1,0.235,4-8,0.0,1.0,1.0,1.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,33.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,10/26/24,at Michigan Tech,W,2-1,0.061,6-12,2.0,0.0,0.0,1.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,24.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/01/24,Alas. Fairbanks,L,1-3,0.042,6-12,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,22.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/02/24,Alas. Fairbanks,T,3-3,0.136,4-8,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,11.0,17.0,25.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/09/24,Stonehill,W,6-3,0.24,6-12,0.0,0.0,0.0,1.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,34.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/15/24,at Rensselaer,W,3-1,0.088,2-4,0.0,0.0,1.0,1.0,0.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,8.0,12.0,18.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/16/24,at Union (NY),W,4-1,0.222,5-13,0.0,1.0,1.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,29.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/22/24,Brown,L,0-1,0.0,3-6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,5.0,9.0,35.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/23/24,Yale,W,4-0,0.114,1-2,0.0,2.0,1.0,1.0,0.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,25.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/29/24,vs Providence,L,2-3,0.08,4-8,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,6.0,10.0,24.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,11/30/24,vs UMass Lowell,T,4-4,0.167,2-4,1.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,8.0,12.0,40.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,12/06/24,at Harvard,W,4-3,0.1,3-6,0.0,0.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,18.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,12/07/24,at Dartmouth,W,3-2,0.167,3-6,0.0,0.0,0.0,1.0,0.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,37.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/10/25,Union (NY),W,5-3,0.135,2-4,1.0,0.0,0.0,1.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,35.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/11/25,Rensselaer,L,1-4,0.029,3-6,1.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7.0,11.0,18.0,25.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/17/25,at Yale,W,7-4,0.28,4-8,1.0,1.0,1.0,1.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,27.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/18/25,at Brown,L,2-4,0.074,3-6,2.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,32.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/24/25,at St. Lawrence,W,5-2,0.156,3-6,1.0,0.0,2.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,27.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/25/25,St. Lawrence,L,1-2,0.037,4-8,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,29.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,1/31/25,Colgate,L,0-2,0.0,6-12,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,37.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/01/25,Cornell,T,3-3,0.081,4-8,1.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,32.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/07/25,at Princeton,W,4-1,0.125,4-8,1.0,0.0,1.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,17.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/08/25,at Quinnipiac,W,3-2,0.176,2-4,0.0,0.0,0.0,1.0,0.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,6.0,10.0,25.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/14/25,Dartmouth,W,4-1,0.16,2-4,1.0,0.0,1.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,11.0,17.0,26.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/15/25,Harvard,W,6-0,0.231,2-4,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,11.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/21/25,at Cornell,W,3-1,0.273,3-6,0.0,0.0,1.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,37.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/22/25,at Colgate,W,5-3,0.135,3-6,2.0,0.0,0.0,1.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,12.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,2/28/25,Quinnipiac,W,4-3,0.333,4-8,1.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,28.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,3/01/25,Princeton,L,3-4,0.107,6-23,2.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,28.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,3/14/25,Harvard,W,3-2,0.107,2-4,1.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,26.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,3/15/25,Harvard,L,2-3,0.077,2-4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,41.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,3/16/25,Harvard,W,2-1,0.049,3-6,1.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,15.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,3/21/25,vs Dartmouth,W,4-1,0.267,2-4,1.0,0.0,1.0,1.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,31.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,3/22/25,vs Cornell,L,1-3,0.032,2-4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,121.0,203.0,324.0,1068.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,,Clarkson,,121-87,0.113,141-307,29.0,6.0,14.0,24.0,1.0,5.0,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,87.0,141.0,228.0,958.0,,,,,,,0.0,,,,,,,,,,2024-25,Table_5,,,,,,,,,,,,,,Opponents,,87-121,0.091,136-327,16.0,3.0,5.0,12.0,1.0,9.0,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,10/05/24,Canisius,W,,,,0.0,0.0,0.0,,,,,2-1,60:00,1.0,1.0,24.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,1.0,0.0,,,10/06/24,RIT,L,,,,0.0,0.0,0.0,,,,,2-3,60:00,3.0,3.0,15.0,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,10/11/24,Niagara,W,,,,1.0,0.0,0.0,,,,,4-2,60:00,2.0,2.0,20.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,1.0,0.0,,,10/12/24,Notre Dame,L,,,,2.0,0.0,1.0,,,,,2-5,60:00,6.0,5.0,22.0,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,10/19/24,at Vermont,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,17.0,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,10/25/24,at Michigan Tech,W,,,,1.0,0.0,0.0,,,,,4-1,60:00,1.0,1.0,31.0,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,10/26/24,at Michigan Tech,W,,,,0.0,0.0,0.0,,,,,2-1,64:42,1.0,0.94,34.0,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,1.0,0.0,,,11/01/24,Alas. Fairbanks,L,,,,0.0,0.0,1.0,,,,,1-3,60:00,4.0,3.0,16.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,0.0,1.0,,,11/02/24,Alas. Fairbanks,T,,,,1.0,0.0,0.0,,,,,3-3,65:00,3.0,2.77,19.0,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,11/09/24,Stonehill,W,,,,1.0,0.0,0.0,,,,,6-3,60:00,3.0,3.0,17.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,11/15/24,at Rensselaer,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,18.0,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,11/16/24,at Union (NY),W,,,,0.0,0.0,0.0,,,,,4-1,60:00,1.0,1.0,28.0,0.966,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,1.0,0.0,,,11/22/24,Brown,L,,,,0.0,0.0,0.0,,,,,0-1,60:00,1.0,1.0,15.0,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,11/23/24,Yale,W,,,,0.0,0.0,0.0,,,,,4-0,60:00,0.0,0.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,1.0,0.0,,,11/29/24,vs Providence,L,,,,0.0,1.0,0.0,,,,,2-3,61:57,3.0,2.95,28.0,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,0.0,0.0,1.0,,,11/30/24,vs UMass Lowell,T,,,,0.0,0.0,0.0,,,,,4-4,65:00,4.0,3.69,23.0,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,12/06/24,at Harvard,W,,,,0.0,0.0,0.0,,,,,4-3,60:00,3.0,3.0,25.0,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,12/07/24,at Dartmouth,W,,,,1.0,0.0,0.0,,,,,3-2,60:00,2.0,2.0,20.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,Table_6,,,,,,,,1.0,0.0,0.0,,,1/10/25,Union (NY),W,,,,0.0,0.0,0.0,,,,,5-3,60:00,3.0,3.0,17.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,
